x,y
-4.255654830523197263e-01,-6.652271604672672645e-01
-4.271701712803144813e-01,-6.640074365502713905e-01
-4.287736339071631653e-01,-6.627860999854933155e-01
-4.303763434446018499e-01,-6.615637773077753803e-01
-4.319776915982114773e-01,-6.603396687821058153e-01
-4.335786781734116691e-01,-6.591150889619806774e-01
-4.351789071927906760e-01,-6.578895175492038838e-01
-4.367778863418935731e-01,-6.566623166662560740e-01
-4.383768913149680424e-01,-6.554351496843863201e-01
-4.399735492768025447e-01,-6.542049302335074534e-01
-4.415704838142743838e-01,-6.529750713264094175e-01
-4.431651374006264077e-01,-6.517422541697260874e-01
-4.447599149541021646e-01,-6.505095997791729978e-01
-4.463530955415414003e-01,-6.492748796416175638e-01
-4.479457888492636153e-01,-6.480395312365905269e-01
-4.495382623780791453e-01,-6.468038993082640964e-01
-4.511286780868228874e-01,-6.455656213094043139e-01
-4.527195032487870696e-01,-6.443278678984455388e-01
-4.543074966230176148e-01,-6.430864838016573382e-01
-4.558960985677264488e-01,-6.418458793373050808e-01
-4.574823342750007349e-01,-6.406022497770071933e-01
